單字(一)
Expert | 專家 | 名詞
pamphlets | n | 宣傳冊
petrol | n | 汽油
discrepancy | n | 差異
accessible | adj | 可進入的
malfunction | n/v | 故障、發生故障
heatedly | adv | 激烈地
compatible | adj | 相容的
commensurate | adj | 相稱的
instrument | n | 儀器
evacuated | v | 撤離
character | n | 性格
quite | adv | 相當
procedures | n | 程序
decisively | adv | 果斷地
graduate | n/v | 畢業、研究生
invention | n | 發明
comedy | n | 喜劇
regret | n/v | 後悔
 properly | adv | 適當地
property | n | 財產
 secretary | n | 秘書
present | n/v/adj | 禮物、呈現、目前的
comprehensive | adj | 全面的
relieve | v | 緩解
keynote | n | 主旨演講
into account | phr | 考慮到
efficiency | n | 效率
tenant | 房客、承租人 | n.
recruiter | 招募人員、招聘者 | n.
impression | 印象 | n.
pier | 碼頭、棧橋 | n.
heater | 暖氣機、加熱器 | n.
gratitude | 感激、感謝 | n.
customary | 慣例的、習俗的 | adj.
climate | 氣候、形勢 | n.
pleased | 高興的、滿意的 | adj.
poetry | 詩歌 | n.
Volume | 音量、容量、(書)冊 | n.
attentive | 專心的、留心的 | adj.
executive | 高階主管、管理階層 | n. / adj.
merger | (公司)合併 | n.
alphabetically | 依字母順序地 | adv.
expense | 費用、支出 | n.
field | 領域、範圍 | n.
previous | 先前的 | adj.
Probation | 試用期 | n.
article | 文章、物品 | n.
inconvenience | 不便、困擾 | n.
reserve | 預約、保留 | v. / n.
forward | 轉寄、向前 | v. / adv.
admission | 入場費、准許進入 | n.
intermission | 中場休息 | n.
contemporary | 當代的、現代的 | adj.
plates | 盤子、車牌 | n.
appealing | 有吸引力的 | adj.
granted | 被准許的、假定 | adj. / v.
session | 會議、(授課)期間 | n.
essence | 本質、精髓 | n.
section | 部門、部分 | n.
quality | 品質、特性 | n.
cartridges | (印表機)墨水匣 | n.
structure | 結構、建築物 | n.
inspection | 檢查、視察 | n.
metropolitan | 大都會的 | adj.
retrieve | 取回、檢索 | v.
interaction | 互動 | n.
exert | 施加、運用 | v.
founded | 創立、成立 | v.
encounter | 遇到、遭遇 | v. / n.
appendix | 附錄 | n.
crowded | 擁擠的 | adj.
honorable | 值得尊敬的、光榮的 | adj.
registration | 登記、註冊 | n.
auditing | 審計、查帳 | n.
Orientation | 新進員工培訓、迎新說明會 | n.
Gemini 說了
approximately | 大約、約莫 | adv.
Election | 選舉 | n.
demeanor | 舉止、風度 | n.
valid | 有效的 | adj.
appropriate | 適當的、合適的 | adj.
preservative | 防腐劑 | n.
guard | 警衛、看守 | n. / v.
thorough | 徹底的、詳盡的 | adj.
aside | 在旁邊、撇開...不談 | adv.
Instructions | 指示、用法說明 | n.
ladder | 梯子 | n.
law | 法律 | n.
Specification | 規格、詳細說明書 | n.
surcharge | 附加費、額外費用 | n.
expedited | 加急的、加速的 | adj. / v.
scattered | 分散的、零星的 | adj.
publisher | 出版商 | n.
shuttle bus | 接駁車 | n.
examining | 檢查、審查 | v. (ing)
earlier | 較早的、先前的 | adj. / adv.
adverse weather | 惡劣天氣 | n. phr.
remaining | 剩餘的 | adj.
departure | 出發、離開 | n.
fines | 罰款 | n. / v.
ticketed | 被開罰單的 | v. (p.p.) / adj.
compete | 競爭 | v.
vacancies | 空缺、職缺 | n.
regularly | 規律地、經常地 | adv.
culprit | 罪魁禍首、肇事者 | n.
occur | 發生、出現 | v.
supper | 晚餐 | n.
orphan | 孤兒 | n.
adopt | 採用、收養 | v.
delight | 使愉快、令人高興 | v. / n.
bloke | 男人、傢伙 | n.
interrogate | 審問、詢問 | v.
owl | 貓頭鷹 | n.
flee | 逃離、逃走 | v.
resist | 抵抗、抗拒 | v.
deny | 否認、拒絕 | v.
risk | 冒...風險 | v. / n.
dread | 害怕、畏懼 | v. / n.
tolerate | 容忍、忍受 | v.
quit | 辭職、停止 | v.
admit | 承認、准許進入 | v.
escape | 逃離、避開 | v. / n.
recollect | 回想、回憶 | v.
anticipate | 預期、預料 | v.
observe | 觀察、遵守 | v.
perceive | 察覺、認為 | v.
imply | 暗示 | v.
shelf | 架子 | n.
traffic | 交通 | n.
informative | 提供資訊的、增廣見聞的 | adj.
caught | 捕捉(catch的過去式/分詞) | v.
substances | 物質、材料 | n.
spine | 脊椎 | n.
pleasurable | 愉快的、帶來享受的 | adj.
treatments | 治療、處理、療法 | n.
relieves | 減輕、緩解 | v.
aching | 疼痛的、酸痛的 | adj.
muscles | 肌肉 | n.
widespread | 廣泛的、普遍的 | adj.
disgust | 厭惡、反感 | n. / v.
circulate | 循環、流通 | v.
alternative | 可替代的、非傳統的 | adj.
sensation | 感覺、知覺 | n.
technique | 技術、方法 | n.
relaxed | 放鬆的、輕鬆的 | adj.
soothing | 慰藉的、使人平靜的 | adj.
stunning | 極美的、令人震驚的 | adj.
extremely | 非常地、極度地 | adv.
climate | 氣候 | n.
generally | 一般來說、通常 | adv.
wander | 漫步、閒逛 | v.
reaches | 區域、範圍 | n.
exert yourself | 努力、費勁 | phr v.
attractions | 景點、吸引人的事物 | n.
poetic | 詩意的 | adj.
charm | 魅力、魔力 | n.
scenery | 風景、景色 | n.
entire | 全部的 | adj.
Gemini 說了
Oversight | 監督、管理 | n.
Oversee | 監督、監管 | v.
Competence | 能力、勝任 | n.
Dexterity | 靈巧、熟練 | n.
Affirmation | 肯定、確認 | n.
Discretion | 謹慎、裁量權 | n.
No less than | 不亞於、至少 | phr.
As long as | 只要 | phr.
Even though | 即使、雖然 | phr.
Only to | 結果卻是、不料 | phr.
forfeiture | (權利)喪失、沒收 | n.
placement | 安置、職位安排 | n.
Diligence | 勤奮、努力 | n.
Reimburse | 報銷、償還 | v.
Mandatory | 強制性的、義務的 | adj.
Foreclosure | 房屋止贖、喪失抵押品贖回權 | n.
Implement | 實施、執行 | v.
Convene | 召集、開會 | v.
Vigilant | 警惕的、警覺的 | adj.
Indemnify | 保障、賠償 | v.
Scrutinize | 詳細檢查、細查 | v.
Incur | 招致、遭受(費用/債務) | v.
distributing | 分發、經銷 | v. (ing)
biggest | 最大的 | adj.
thoroughly | 徹底地、完全地、仔細地 | adv.
relatively | 相對地、比較起來 | adv.
nearly | 幾乎、差不多 | adv.
direct | 直接的、直達的、指導 | adj. / v.
unimaginative | 缺乏想像力的、單調的 | adj.
now that | 既然、由於 | conj phr.
in case | 以防萬一、假如 | conj phr.
against | 反對、與...相反、依著 | prep.
era | 時代、紀元 | n.
interval | 間隔、休息時間、距離 | n.
period | 期間、一段時間、時期 | n.
energy | 精力、活力、能源 | n.
willing | 樂意的、情願的 | adj.
either | (兩者中)任一、或者 | adv. / pron. / conj.
neither | (兩者中)兩者皆非、也不 | adv. / pron. / conj.
throughout | 遍及、在...期間 | prep. / adv.
claim | 聲稱、主張、要求(賠償)、索賠 | v. / n.
filing | 歸檔、提交(文件) | n. / v. (ing)
diagnosing | 診斷(問題或故障) | v. (ing)
preventing | 阻止、預防 | v. (ing)
please | 使...高興、請 | v. / int.
considered | 被考慮的、經過深思熟慮的 | v. (p.p.) / adj.
along with | 連同、與...一起 | prep phr.
through | 穿過、藉由、透過 | prep. / adv.
boost | 提高、促進、增加 | v. / n.
soar | (價格、數量)驟升、飛漲 | v.
exclusively | 獨家地、專門地 | adv.
prominent | 卓越的、著名的 | adj.
furthermore | 此外、而且 | adv.
seemingly | 表面上、看樣子 | adv.
significance | 重要性、意義 | n.
wherein | 在其中 | adv.
exchange | 交換、交流 | v. / n.
certain | 特定的、確定的 | adj.
especially | 尤其、特別是 | adv.
crucial | 至關重要的 | adj.
qualified | 有資格的、勝任的 | adj.
specialize | 專攻、專門從事 | v.
individual | 個人、個體 | n.
determine | 決定、判定 | v.
underlying | 潛在的、基礎的 | adj.
treatment | 治療、對待 | n.
administer | 管理、執行、給藥 | v.
enforcement | 執行、強制 | n.
crime | 罪行 | n.
similarly | 同樣地 | adv.
extinguish | 撲滅、熄滅 | v.
crop | 農作物 | n.
intention | 意圖、打算 | n.
venue | 場地、會場 | n.
ultimately | 最終、最後 | adv.
scientific | 科學的 | adj.
cafeteria | 自助餐廳、食堂 | n.
accountant | 會計師 | n.
prevents | 預防、阻止 | v.
investing | 投資 | n.
organized | 組織、籌備 | v.
beneficial | 有益的 | adj.
as soon as | 一...就... | conj.
acceptance | 接受、贊同 | n.
choose | 選擇 | v.
satisfactory | 令人滿意的 | adj.
helpful | 有幫助的 | adj.
Commuting | 通勤 | n.
Gathering | 聚集 | n.
secure | 保護、使安全 | v.
adviser | 顧問 | n.
unauthorized | 未經授權的 | adj.
direct | 引導、寄送 | v.
authorize | 授權、批准 | v.
Vital | 極重要的 | adj.
Crucial | 決定性的、至關重要的 | adj.
Prominent | 卓越的、著名的 | adj.
Critical | 批評的、關鍵的 | adj.
Treatment | 治療、對待 | n.
Remedy | 補救、治療 | n.
Culprit | 罪犯、禍根 | n.
Criminal | 罪犯 | n.
Ruler | 統治者 | n.
Compass | 羅盤、圓規 | n.
Plowman | 農夫 | n.
Farmer | 農夫 | n.
Plowmen | 農夫（複數） | n.
Culture | 文化 | n.
Cultural | 文化的 | adj.
Agriculture | 農業 | n.
Agricultural | 農業的 | adj.
Aquaculture | 水產養殖 | n.
Livestock | 家畜 | n.
Poem | 詩（可數） | n.
Poetry | 詩歌（不可數） | n.
spray | 噴灑、噴霧 | v. / n.
debris | 碎片、殘骸 | n.
systematic | 有系統的 | adj.
systematically | 有系統地 | adv.
systemized | 系統化的 | adj.
in spite of | 儘管 | prep phr.
commence | 開始 | v.
intrusion | 侵入、闖入 | n.
importance | 重要性 | n.

